Table 1
ID	OID	CF	LOC	QUOTE	NOTES	RE 0	DESC	ATT	CLG	FLR	DATE	SETTLEMENT DEF	DESC	SOURCE	SURL	END	
d49	^^^	Asturias	p 11	"El 7 de Marzo de 1604 fué reconocido el puerto de Santo Tomas de Castilla por el Alcalde 1º. don Esteban de Alvarado, y el regidor don Carlos Vasquez de Coronado, destinándose para estos gastos 1250 tostones, de fondos propios. A este descubrímiento se le dió mucha importancia, como en realidad la merecía, ya que acortaba en mucho la distancia a la capital, comparada con Puerto-Caballos y la Caldera, en Punta de Castilla; se abrió un camino por las montañas de Esquipulas y Chiquimula, que nunca pasó de ser muy malo y que mas tarde motivó el abandono de tan hermoso puerto. La Población de Puerto-Caballos y una tribu de indios, los Toqueguas o Loquehuas, compuesta como de 200 fueron trasladados a Santo Tomas. [new para] Por este tiempo se estableció la flotilla de Honduras, compuesta de dos buques, y es muy probable que tambien por este tiempo haya llegado Wallace a la desembocadura del rio Viejo y establecido la ranchería que mas tarde se llamó Belice. [new para] En 1607 el conde Mauricio, al mando de ocho naves holandesas asaltó Santo Tomas, le robó 8.000 dineros y despues lo incenció. [new para] En 1633 se suprime la flotilla de Honduras y se dispone que las dos naves que la componían se agreguen a la flota de Nueva España, y en 1636 se establece el derecho a la exportación llamado de barlovento, porque estaba consignado al sostenimiento de la celebre flota de barlovento, que costó muchos dineros y no sirvió de nada."	^^^	Old R	llegar a la desembocadura y establecer ranchería	1p	1604	1607	después de reconocido el puerto de Santo Tomas de Castilla / por este tiempo [est de flotilla de Honduras] / antes de asalto holandés del conde Mauricio y ocho naves a Sto Tomas	establecer ranchería	Wallace settles Hon	AN - Draft:English settling of Belize	https://en.wikipedia.org/wiki/Draft:English_settling_of_Belize	###	
d50	^^^	G Palaez	vol 2 cap 65 p 135	"El almanaque de Balis del año de 828, tratando esta materia [ie ingleses en Yucatan], refiere que al principio las embarcaciones inglesas cruzaban los mares en solicitud de embarcaciones españolas: que mas adelante no haciendo presa de ellas, aprendieron los ingleses por sí á cortar su carga; y que el primer establecimiento de cortadores se hizo en el cabo Catoche por aventureros de Jamayca, que en poco tiempo se estendieron hácia el sur hasta la playa de Waliz, y hácia el oeste hasta la isla de Triste: con que teniendo este modo de ganar la subsistencia, dejaron la depredacion por tratado hecho con la España en Madrid en 667."	^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	AN - Draft:English settling of Belize	https://en.wikipedia.org/wiki/Draft:English_settling_of_Belize	###	
d51	^^^	G Palaez	vol 2 cap 66 pp 140-141	"En informe hecho al gobierno superior del reyno por el padre comisario de misiones fray Alonso del Castillo, y firmado de su nombre en 16 de agosto de 1724, se dá la relacion siguiente. [new para] Demas de dichos zambos mosquitos hay poblados como trescientos ingleses, segun el informe que me hicieron los prácticos [start p 141] de dicha costa, y que han estado entre ellos. Mas estas poblazones de ingleses estan muy apartadas y distantes del parage de los zambos mosquitos. Estan dichos ingleses en el parage que llaman Balis en esta costa de la mar del norte á el lado y costa del castillo del Golfo, que mira como quien navega para Campeche. De suerte que saliendo del castillo del Golfo, y navegando costa á costa á los cuatro dias de navegacion se encuentra con las poblazones de Balis á la lengua del agua. Estos ingleses ha mucho tiempo que estan poblados y cortando palo de brasil, que es el fin y único ejercicio que tienen. Ellos cortan de este palo que superabunda en aquel parage, y gran parte de su circunferencia, por lo que mira á la montaña de dicha costa, y en porciones lo van vendiendo á otros ingleses, que á este fin vienen de Jamayca y de Inglaterra. [new para] En la montaña de dicho parage solo hay montes espesísimos y casi impenetrables; porque nunca jamas se ha oido hayan atravesado aquellas montañas por tierra, ni los ingleses á los pueblos ó haciendas de cathólicos por tierra adentro, ni los cathólicos al pueblo, parage de Balis. Todo esto débese entender de un tiempo posterior á la jornada del padre Delgado en adelante; pues en esa época aun habia camino por tierra de la Verapaz á Bacalar. Solo por mar, continúa diciendo el padre Castillo, en canóas ó por tierra, costa á costa, entre la lengua del agua y orilla de la montaña, han pasado algunos españoles y mulatos que han arribado á Balis, unos por temporal, otros que habiéndolos aprisionado en la mar, los han echado en Balis."	^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	AN - Draft:English settling of Belize	https://en.wikipedia.org/wiki/Draft:English_settling_of_Belize	###	
d52	^^^	C Ancona	pp 55	"En la época del gobierno colonial, á principios del siglo pasado (1717) comenzó á formarse la poblacion ó colonia de súbditos de la corona de Inglaterra en un extremo de la parte meridional de la Península yucateca, con motivo del corte de palo de tinte."	^^^	Hon	comenzar á formarse poblacion ó colonia con motivo del corte de palo de tinte	2p	1717	1717	á principios del siglo pasado (1717)	^^^	Wallace settles Hon as haven	AN - Draft:English settling of Belize	https://en.wikipedia.org/wiki/Draft:English_settling_of_Belize	###	
d53	^^^	Finamore	p 21	"English privateers, pirates, and other mariners were making sporadic visits to this portion of the Bay of Honduras coast for a variety of purposes at least as early as 1570 [C Quijano p 41], including periodic raids upon the Spanish settlement at Bacalar, which were recorded in 1642,1648, and 1652, and possibly even itinerant timber exploitation as early as 1618 [Gerhard, Southeast frontier of New Spain, Princeton: Univ Press, 1979, cf p 70]. "	There is no substantiated evidence for significant English settlement anywhere on the coast of Belize before 1680 (Burdon I 931: 2) /v Finamore p 22	^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	AN - Draft:English settling of Belize	https://en.wikipedia.org/wiki/Draft:English_settling_of_Belize	###	
d54	^^^	Winzerling	p 55	"Father Du Tertre, of the Ordre des Freres Precheurs, in his ""Histoire des Antilles,"" 1667, tells us that ""the French buccaneers were twice driven away from Tortuga before the English were driven away in 1638 by a Spanish general who put to the sword all the English who fell into his hands. But shortly afterwards they returned, and having attracted some French buccaneers they reached the number of 300, and of which 'un anglais' had made himself the chief."""	^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	AN - Draft:English settling of Belize	https://en.wikipedia.org/wiki/Draft:English_settling_of_Belize	###	
d55	^^^	Winzerling	p 55	"Father Francois Xavier de Charlevoix, S.J., in his ""Histoire de L'Ile Espagnole ou de St. Domingue,"" of 1730, which is mainly based on the memoir manuscript of Father J. B. Le Pers, missionary at Saint Domingue for 25 years, and on the original documents of the French naval depot says that ""the buccaneers felt the necessity of defending themselves against the Spaniards from whom they had no hopes of peace, and this caused them to think of electing a chief. Amongst the English who were with them was one named Willis-""homme de tete et resolution."" They tendered him the command, but quickly repented it. They noticed that this man was attracting as many as possible of his own nation, and what worried them still more was his mocking them when they wished to elect a new general."""	^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	AN - Draft:English settling of Belize	https://en.wikipedia.org/wiki/Draft:English_settling_of_Belize	###	
d56	^^^	B-Thomas	p 154	"For the settlement of Belize by the British, we should therefore distinguish between the period before 1670 and the period after. In the first period, which starts from 1642, there may have been some scope for privateers to make Belize their home but it would not have been easy. The opportunities for laying in stores, refitting ships and spending profits were strictly limited on the Belizean cayes. From 1655, furthermore, Jamaica was a much more attractive base for such activities. Thus, any settlers before 1670 are likely to have been much less glamorous than the privateers (see below). [new para] After 1670, when the former privateers were becoming pirates, Belize may have been more tempting and perhaps this explains the presence of Bartholomew Sharp in 1677. However, settlers in Belize were about to turn to a much more prosaic activity (the extraction of logwood), so this period in Belize’s history was likely to have been very brief. Indeed, we know for sure that logwood was being cut and exported by 1680 (see next chapter). [new para] Although we have shown there were many British subjects who might have had an interest in settling in Belize after 1642, we have very little solid evidence."	^^^	Hon cayes	"privateers make Hon their home by laying in stores, refitting ships, spending profits in cayes"	1p	1642	1670	after 1642 / before privateers start becoming pirates in 1670	^^^	^^^	AN - Draft:English settling of Belize	https://en.wikipedia.org/wiki/Draft:English_settling_of_Belize	###	
d57	^^^	Gibbs	p 23	In 1638 a few British sailors were wrecked on the coast of Yucatan and would appear to have settled.	^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	AN - Draft:English settling of Belize	https://en.wikipedia.org/wiki/Draft:English_settling_of_Belize	###	
d58	^^^	Donohoe	p 28	In 1638 a number of settlers arrived from Jamaica to join the [Hon] settlement. For the next thirty years adventurers of all nations joined the outlaw group.	NOT INITIAL SETTLEMENT CLAIM 17 JUL 2022	^^^	^^^	2p	^^^	^^^	^^^	^^^	^^^	AN - Draft:English settling of Belize	https://en.wikipedia.org/wiki/Draft:English_settling_of_Belize	###	
d59	^^^	Winzerling	p 33	"In all the published historical records on the colony, the British colonization begins at Belize. This is not true."	"I decided to search the sixteenth, seventeenth, and eighteenth century records on insular and mainland Caribbean history in the rare-books’ sections of several of the great libraries of Europe. Works in Dutch, English, French, German, Latin, and Spanish were perused. My views expressed in these pages have been tempered in that light, but I have used only such as have a bearing on my subject. /v Winzerling p 33"	^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	AN - Draft:English settling of Belize	https://en.wikipedia.org/wiki/Draft:English_settling_of_Belize	###	
d60	^^^	Coxe 3	pp 298-299	"In particular, the conquest of Jamaica by Cromwell broke that chain of islands with which nature seems to have inclosed the bay of Mexico. The capture of Jamaica was followed by settlements in the bay of Campeachy, for the sake of cutting logwood which abounds in the peninsula of [start p 299] Yucatan. These establishments, nourished by a lucrative, though contraband traffic with the neighbouring spaniards, and increased by the buccaneers, when that species of piracy was suppressed, gradually spread along the bay of Honduras and the Mosquito shore."	^^^	Cam B / Hon B / Mos S	logwood cutters from Cam B gradually spread along Hon B and Mos S	2p	^^^	^^^	after capture of Jamaica / after Campeachy B logging settlements established / during or after suppression of buccaneering	^^^	^^^	AN - Draft:English settling of Belize	https://en.wikipedia.org/wiki/Draft:English_settling_of_Belize	###	
d61	^^^	Bancroft	vol 7 p 624	"In the latter half of the seventeenth century that portion of Yucatan bordering on the bay of Honduras was abandoned by Spaniards, owing to the destruction by pirates and Indians of the town of Bacalar.[acct of Bacalar abandonment given in Hist. Mex. this series ie Bancroft 6 or Bancroft 7] Its henceforth isolated position, together with the ruggedness of the surrounding country and the numberless reefs and shoals on its sea-coast, made it peculiarly fitted for the haunts of the buccaneers. One of these, Peter Wallace, a Scotchman, landed with some eighty companions at the mouth of the Belize River, and erected on its banks a few houses, which he enclosed with a rude palisade. His name was given both to the river and settlement, and subsequently to the whole region occupied by the English. By the Spaniards this territory was variously termed Walis, Balis, and Walix, and the word became finally corrupted into the present name of Belice or Belize.[Peniche, Belice, in Soc. Mex. Geog., Boletin, 2da ép., i. 217-219; Pelaez, Mem. Hist. Guat., iii. 136, 140; Stout's Nic., 258; Squier, Stat. Cent. Am., 575-576]"	Bancroft 7 cap XXXIII entitled BELIZE 1650-1800 /v Bancroft 7 p 623	Old R	"Scotch buccaneer with some 80 companions land, erect a few houses, and enclose with a rude palisade"	2p	1651	1700	in the latter half of the seventeenth century	^^^	^^^	AN - Draft:English settling of Belize	https://en.wikipedia.org/wiki/Draft:English_settling_of_Belize	###	
d62	^^^	Temple aa	p 466	"It can be clearly proved that during the Commonwealth, in the year 1653, the English logwood cutters had succeeded in firmly establsihing themselves in the whole of the country between the Siban and the Hondo, and had also occupied all the islands in the Bay of Honduras, including what are now called the Bay Islands. That they had many a hard tussle for these possessions with the few inhabitants who were scattered over the uncleared tracts between the limits above mentioned, and that much unjustifiable violance, and many deeds of rapine and savage cruelty were committed, there is little doubt: but that they succeeded in firmly planting themselves on the soil there is as little."	^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	###	
d63	^^^	Gibbs	p 22	"It is sufficiently a matter of history that the seas in this part of the world were so far back as the time of our own Charles I. infested by hordes of pirates of our own an dother nations, the homeward-bound, richly-laden merchant-ships of Spain offering the inducement to the more adventurous spirits of our rising navy to embark in such questionable enterprises. Letters of marque were issued, but gentlemen of the stamp of Mr. Wallace, or Wallis, were not wont to be very particular about the nature of their ships' papers in days when they were not likely to be frequently overhauled by our ubiquitous cruisers, and were probably satisfied with the roving commission and immunity from search given them by our national hostility to Spain at that era. [new para] The Bay of Honduras, with its numerous islands and shore inlets, and its protecting reefs—the navigation of which was ticklish work for the clumsy vessels of war of the period, but which they were familiar with—its creeks, lagoons, and river-mouths densely shrouded by tropical foliage, was doubtless early selected by the bold buccaneers as safe retreating-ground whence to retire with the spoils of, and enjoy a respite from, their successful sea-forays."	^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	AN - Draft:English settling of Belize	https://en.wikipedia.org/wiki/Draft:English_settling_of_Belize	###	
d64	^^^	Azpiroz	p 715	"La costa fué descubierta por Colon en 1502. La fecha de su primer fundacion por los europeos es incierta. Fué cedida de España á Inglaterra por tratados en 1670; pero su ocupacion fué disputada varias veces por los españoles hasta 1798, y desde esta época entramos en posesion pacífica de la misma."	"From Mc.Culloch's geographical dictionary, article on Honduras (British). /v Azpiroz p 710 / Es copia de la que existe en este ministerio de relaciones. México, Marzo 22 de 1871.—Manuel Azpíroz, oficial mayor. /v Azpiroz p 715"	Hon or Old R	primer fundacion o ocupacion	1p	^^^	^^^	antes de tratado con España de 1670	^^^	^^^	^^^	^^^	###	
d65	^^^	Azpiroz	p 711	"La primera colonia de Belice es incierta: como los primeros visitadores fueron puramente cortadores de caoba y palo de tinte, sus residencias no eran mas que temporales. El primer establecimiento de los ingleses en este lugar se hizo poco despues del tratado con España en 1667. Los primeros pobladores fueron aventureros de Jamaica, que se establecieron en el Cabo Catoche, y gradualmente extendieron su localidad hasta Belice. Gran hostilidad fué promovida á esta colonia por los españoles que residian sobre los límites de Campeche, quienes formaron expediciones varias veces con el objeto de desterrar á nuestros compatriotas. Estas tentativas no surtieron buen efecto, sino al contrario, los colonos ingleses y marineros, en dos distintas ocasiones (en 1659 y 1678), atacaron y tomaron posesion de la ciudad de Campeche. Nuestro derecho para mantener una colonia en este lugar habiendo sido reconocido por la corona de España en un tratado concluido en Julio de 1670; los establecimientos aumentaron en gran escala, y en muy poco tiempo los residentes (todos libres y blancos), ascendieron á 1,700."	"From Mc.Culloch's geographical dictionary, article on Honduras (British). Apuntes historicos sobre Honduras Britanicas /v Azpiroz p 710 / Es copia de la que existe en este ministerio de relaciones. México, Marzo 22 de 1871.—Manuel Azpíroz, oficial mayor. /v Azpiroz p 712"	Catoche / Hon B	aventureros de Jamaica o cortadores de caoba y palo de tinte que se establecieron en Catoche gradualmente extienden su localidad hasta Hon o Old R	1p	^^^	^^^	despues del tratado con España de 1667 / despues de establecerse en Catoche	^^^	^^^	^^^	^^^	###	
d66	^^^	Ancona	vol 2 p 371	"La primera tentativa de este género [corte de palo de tinte por ingleses] se hizo en el Cabo Catoche hácia el año de 1662, y este hecho importante, cuya noticia debemos á un escritor, que fué por muchos años superintendente de Belice (1) [Fancourt sec preface] pasa casi desaparcibido en nuerstras crónicas. Solamente en los manuscritos atribuidos al P. Lara encontramos la especie de que la ciudad de Mérida pidió al gobernador D. José Campero (1660-1663) QUE TOMASE PROVIDENCIAS A FIN DE ECHAR DE ESTAS COSTAS AL ENEMIGO PIRATA, frase que pudiera muy bien indicar que los cortadores de palo tenian ocupado el cabo por aquella época. Como quiera que sea, luego que éstos hubieron agotado los árboles mas inmediatos á la costa, y temiendo sin duda internarse demasiado, se dirigieron, segun asegura Róbertson (2) [Roberston lib 7], primero á la isla de Tris, nombre que entónces se daba al Cármen, y luego á la bahía de Honduras, donde colocaron su principal establecimiento. El lector comprenderá que el escritor inglés alude aqui á la colonia británica, conocida actualmente con el nombre de Belice, y sobre cuyo orígen no añade una sola palabra. La historia de Fancourt, habría dado indudablemente mucha luz sobre este asunto; pero desgraciadamente no conocemos mas que la primera parte, que solo llega hasta la conquista del Petén. En cuanto á los datos que suministran nuestros anales, son algo oscuros y confusos, aunque no dejan de darle cierta fuerza los que hemos podido recoger en autores extranjeros."	"aunque Fancourt cita el año de 1662, como época en que comenzó el corte de palo en el Cabo Catoche, no conocemos el número de años que medió entre esta primera tentativa y la fundacion de Belice /v Ancona 2 p 374"	Catoche / Tris / Hon B	ingleses intentan cortar palo / ocupan para cortar palo / dirigirse á	1p	1660	^^^	hácia el año de 1662 / durante gobierno de D. José Campero / luego de agotado los árboles mas inmediatos á la costa [Catoche] / luego de dirigirse a Tris	intentar cortar palo de tinte	^^^	AN - Draft:English settling of Belize	https://en.wikipedia.org/wiki/Draft:English_settling_of_Belize	###	
d67	^^^	Fenix	iss 62 for 5 Sep 1849 pp 3-4	"Libradas de ordinario á sus propios recursos, y no siendo posible atender á la vez, y en toda su extension, los diversos puntos amagados del enemigo, caia éste de improviso en el sitio mas descuidado, robaba, incendiaba y destruia, y marchaba despues á dividir sus presas en las colonias de donde recibia amparo y proteccion. Tanta era la audacia de aquellos aventureros, que solian permanecer por meses, y aun años enteros, ocupando algunas islas y sitios próximos á las poblaciones españolas, sin que recibiesen por ello la menor hostilidad, ni molestia. Así fué como vino á formarse el establecimiento de Belice, situado en la costa sur de la península de Yucatan, sobre el golfo de Honduras. [new para] Dificil es hallar en la historia, á punto fijo, el primitivo sitio y asiento de esta colonia. Mas parece ser un hecho averiguado lo que se refiere acerca del establecimiento de ella en donde hoy se encuentra. Dícese que un bucanero escocés atrevido y emprendedor, llamado Peter Wallace, movido de la fama de las riquezas que se ganaban en aquellas expediciones infames, y asociado de los mas resueltos de sus camaradas, determinó buscar un sítio á propósito en que colocar perpetuamente su guarida. Como esto ocurria á mediados del siglo XVII la costa de Yucatan bañada del golfo de Honduras, se hallaba totalmente deshabitada de españoles, pues el único establecimiento que allí habia, el de Bacalar, habia sido aniquilado por la irrupcion del filibustero Abraham (en 1648 y 1652, segun Cogolludo) y por la sublevacion de los indios de aquel distrito. Wallace hizo un perfecto reconocimineto de aquellos bajos y arrecifes, y despues de un exámen diligente halló en nuestras costas un rio enteramente á cubierto con una series de cayos y bajos; y desembarcó allí con unos ochenta piratas, que desde el momento mismo construyeron unas cuantas chozas circunvaladas de una especie de empalizada ó ruda fortaleza. Dieron aquellos aventureros el nombre de WALLACE al rio en cuyas márgenes se establecieron, nombre que despues degeneró en WALLIX, y por último en BELICE, que es como lo nombran los geógrafos modernos, y así se denomina en las actas oficiales del gobierno ingles. [new para] El bucanero escocés sabia que su nuevo establecimiento se hallaba en territorio español; pero queriendo hacer permanente y segura aquella guarida para los que en lo sucesivo quisiesen habitarla, procedió desde luego, aunque sin intervencion aparente de su gobierno, á celebrar un tratado con los indios MOSQUITOS, tribu que jamas habia estado en la dependencia española, ni recibido el yugo impuesto á las demas que se hallaban diseminadas en este vasto continente. Hizo mas Wallace; pues consiguió del cacique ó régulo de los MOSQUITOS, que le cediese en el tratado el territorio en que habia [start p 4] fundado su establecimiento; y aunque el MOSQUITO ni siquiera sabia á derechas cual era el territorio de que se trataba, no por eso halló dificultad alguna en acceder á los deseos de aquel hombre blanco, que le mostraba tan singular amor, y que no tenia empeño en destruirle sus ídolos y demas signos de su idolatría."	"Quote content attributed to Justo Sierra O'Reilly, and thereby judged reliable or highly reliable by Mexican authorities, though Sierra O'Reilly did not make it a practice to cite sources in his historical texts /v N Ortega pp. 8–9 / NEED DIRECT QUOTE OF THIS OPINION 11 JUL 2022 /// Puede suceder muy bien que las conclusiones, que hemos de inferir de todos los hechos y precedentes que vamos á someter al juicio de nuestros compatriotas, sean erróneas; pero por lo que respecta á los hechos mismos, los buscarémos en su fuente, y los propondrémos sin temor y con buena fé. /v Fenix iss 62 for 5 Sep 1849 p 3"	Old R	bucanero escosés y 80 asociados piratas buscan un sitio á propósito en que colocar perpétuamente su guarida á fin de salir á sus piraterías y despues de examén diligente de costa yucateca en Bahía de Hon hallan Old R	1p	^^^	^^^	á mediados del siglo XVII / despues de aniquilado Bacalar por Abraham y sublevacion de indios	^^^	Wallace settles Hon	AN - Draft:English settling of Belize	https://en.wikipedia.org/wiki/Draft:English_settling_of_Belize	###	
d68	^^^	Craig	p 55	"Like many another author, Lindsay W. Bristowe and Philip B. Wright repeat without citation the story that the first inhabitants of British Honduras were survivors of a shipwreck in 1638 [1, p. 25]. So far, concrete evidence of this oft-mentioned wreck has not come to the attention of the writer."	Quote content from Hon Hnd for 1890-91 p 25	Hon	shipwreck survivors first inhabit	0	1638	1638	in 1638	^^^	^^^	AN - Draft:English settling of Belize	https://en.wikipedia.org/wiki/Draft:English_settling_of_Belize	###	
d69	^^^	Ancona	vol 2 pp 374-375	"Los redactores de una enciclopedia alemana, que probablemente tomaron de autores ingleses las noticias que dan en el artículo consagrado á Belice, se expresan de esta manera: ""El orígen de este establecimiento data desde el decaimiento de la piratería á principios del siglo pasado. Aventureros ingleses, para quienes el oficio de piratas era ya demasiado peligroso, aprovecharon los conocimientos exactos que tenian [start p 375] de las costas del continente para iniciar una profesion aparentemente honrada, en el territorio situado entre el Rio Balize y el Hondo, que abunda en maderas de tinte"" (7) [Brockhaus, Conversations Lexikon, Leipsig, 1864]."	"Quote from Brockhaus, Conversations Lexikon, Leipsig, 1864 p ^^^"	Old to Hondo R	aventureros ingleses inician una profesion aparentemente honrada re maderas de tinte	1n	1701	^^^	desde el decaimiento de la piratería á principios del siglo pasado [XVIII]	^^^	^^^	AN - Draft:English settling of Belize	https://en.wikipedia.org/wiki/Draft:English_settling_of_Belize	###	
d70	^^^	N Ortega	pp 7-8	"Mac Culloch dice que la palabra Belice viene del nombre de un pirata inglés llamado Wallice, y que el primer Estable- [start p 8] cimiento de los ingleses se hizo poco despues del tratado con España en 1667.[McCulloch, Geographical dictionary, via article in Boletin Soc Mex Geog, 2a ép, tom IV, p 711]"	^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	AN - Draft:English settling of Belize	https://en.wikipedia.org/wiki/Draft:English_settling_of_Belize	###	
d71	^^^	Curry	p 32	"Major Sir John Burdon, a recent governor of the colony, suggested that a Scot corsair chief, Wallace (or Willis), ex-governor of Tortuga, settled there in 1638."	Quote content from Burdon 1 p ^^^ / It is not certain when the first settlement was made or who estab- lished it. /v Curry p 32	Hon or Old R	Scot corsair chief settles	0	1638	1638	in 1638 / after period as governor of Tortuga	^^^	^^^	AN - Draft:English settling of Belize	https://en.wikipedia.org/wiki/Draft:English_settling_of_Belize	###	
d72	^^^	Temple aa	p 466	"Mr. Buchanan says, ""It would be a vain labour to trace the history of the connection of Great Britain with the Mosquito shore and other portions of Central America, previous to her treaties with Spain of 1783and 1786."" This is a mistake. There is no difficulty whatever in tracing the occupations of the British in the Bay of Honduras to their origin, and this I will now proceed to do."	^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	###	
d73	^^^	G Palaez	vol 2 cap 63 p 129	"Murillo, en su Geografia lib. 9 cap. 3, hablando de esta última provincia [bahia de la Ascension, que pertenece á la villa de Valladolid de Yucatan], escribe. Aqui hay mucho palo colorado para teñir, que llaman brasil y campeche, y por aprovecharse de él, se establecieron algunos ingleses."	^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	AN - Draft:English settling of Belize	https://en.wikipedia.org/wiki/Draft:English_settling_of_Belize	###	
d74	^^^	G Palaez	vol 2 cap 65 pp 134-135	"No fueron solo las bahias del Espíritu Santo de Bacalar, y la de la Ascension las ocupadas por ingleses con el corte del palo de tinte en Yucatan: lo habian sido mcho antes el cabo Catoche, y otros parages hasta la laguna de Términos. Roberston lib. 7 s 68 dice. Despues de la conquista de Jamayca uno de los primeros objetos que tentaron los ingleses fué el gran provecho del co-[start p 136]mercio del palo de tintura, y la facilidad de arrebatar una parte de él á los españoles. Algunos aventureros de esta isla hicieron la primera tentative en el cabo Catoche situado al sudueste de Yucatan, y tuvieron una grande ganancia, cortando palos. Cuando los árboles mas próximos á la costa fueron abatidos, ellos se acercaron á la isla de Triste en la bahia de Campeche."	^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	AN - Draft:English settling of Belize	https://en.wikipedia.org/wiki/Draft:English_settling_of_Belize	###	
d75	^^^	Amandala	no ^^^ for 6 May 2011 p ^^^ sec Ideas and Opinions – To the ICJ or not para 2	"Our history began when English and Scottish sailors (buccaneers) landed at the mouth of the Belize River in 1638. They were the first to do so and, might have claimed the land in the name of their sovereign, except for the fact that this land, our land, by an accident of history was from 1494, a part of the Spanish Main. This is how it came about."	^^^	Old R	sailors (buccaneers) land	2p	1638	1638	in 1638	^^^	^^^	AN - Draft:English settling of Belize	https://en.wikipedia.org/wiki/Draft:English_settling_of_Belize	###	
d76	^^^	C Ancona	pp 58	"P. Cuál es el orígen de las posesiones extranjeras en Yucatan? [new para] R. Las posesiones extranjeras en Yucatan, esto es, los establecimientos ingleses de Belice, tomaron su origen de la concesion hecha á los súbditos de la Gran Bretaña, (1717) desde el tiempo del gobierno español, para el corte del palo de tinte."	^^^	Hon	tomar origen de concesion hecha á los súbditos de la GB para corte de palo de tinte	2p	1717	1717	despues de concesion hecha á los súbditos de la GB (1717) para corte de palo de tinte	^^^	Wallace settles Hon as haven	AN - Draft:English settling of Belize	https://en.wikipedia.org/wiki/Draft:English_settling_of_Belize	###	
d77	^^^	Craig	p 55	"Parsons suggests that Captain Wallis was a Providence Island Puritan who was followed by a sizeable contingent of refugee settlers that arrived in British Honduras in 1641 as a result of Spanish attack and capture of Providence [15, p, 6]. "	"Quote content from J. J. Parsons, San Andrés and Provicencia English-speaking islands in the western Caribbean, Los Angeles, 1956, p 6"	Hon	Old Prov puritan and sizeable contingent of refugee settlers arrive	0	1641	1641	in 1641 / after Spanish capture of Old Prov	^^^	^^^	AN - Draft:English settling of Belize	https://en.wikipedia.org/wiki/Draft:English_settling_of_Belize	###	
d78	^^^	Rogers	pp 199-200	"Quite a halo of romance surrounds the earliest British occupation of Honduras. The central hero of the story being [start p 200] a Scottish rover or buccaneer, named Wallace, whose cognomen is supposed to survive in the name of the capital, Belize. It was the practice of these privateers to set fire to all homeward-bound Spanish vessels laden with logwood, having first stripped the ship and crew of everything valuable. But one Captain James having made such a capture, brought vessel and cargo to London, and he was agreeabl surprised to find a ready sale for the logwood, while he was equally chagrined to remember that he had been using as fuel during the voyage wood valued at £100 a ton. [new para] Thus the privateers found it more profitable to search for wood on shore than fight for it on sea, and English woodcutters accordingly increased and multiplied, until after capturing the Bay Islands they swarmed into the adjacent continent, and finally established themselves at Belize. Nearly a hundred years later on, in 1754, the Spaniards, exasperated by the continued prosperity of the Baymen, assembled a force of 1,500 men at Peten and marched upon the old river works."	"[A] narrative of the manly, ambitious, and indefatigable efforts of the Baymen, as they were called, to establish themselves on the shores of Central America would prove to be, if not a profitable study, at least an entertaining romance. It is, however, not my purpose to go into a detailed account of these proceedings, much less to dwell at any length upon the ancient history of the country at large, but to cull from the pages of local records such facts as may be interesting in themselves, or which tend to throw light upon the subsequent development of the colony. /v Rogers p 199"	^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	###	
d79	^^^	Gibbs	p 25	"Ruatan or Roatan, sometimes called Rattan, one of the group known as the ""Bay Islands,"" long afterwards a bone of contention between England and Spain, was first captured by the English in 1642."	^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	AN - Draft:English settling of Belize	https://en.wikipedia.org/wiki/Draft:English_settling_of_Belize	###	
