E 1—320 / Events.
ID	NO	TYPE	PART OF	LOWER START	UPPER END	SUMMARY	DESCRIPTION	NEAR	SP	ALLY	ALLY	LIVES	HELD	MOVED	CRAFT	PROPERTY	OTHER	PRESS	CF	VIA	NOTE	
E 131	131	O		26 January 1734	26 January 1734	Female Neg slaves at Hon	Female negro slaves present in Settlement	Old											"MEXICO,3099 exp 1 ff 1r—9v"	Barke 2012 p123 n422		
E 132	132	O		26 January 1734	26 January 1734	Sp embassy to Hon	Gov of Yucatan offers legal logging near Campeche to loggers in Settlement via embassy of English woman “de clara capacidad” previously imprisoned; 25 loggers accept and move with their slaves	"Merida, Old"											"MEXICO,3099 exp 1 ff 1r—9v"	Barke 2012 p123 n422		
E 133	133	Dup ?	Hos 3	10 March 1734	30 March 1734		One Yucatan military campaign against Settlement	xxx	Mariscal Juan Fernández de Sabariego 1 Goleta 143 men										xxx	Antochiw 7		
E 134	134		Hos 3	1 September 1734	30 September 1734		Sp or buccaneers or privateers surprise Fleet or unknown sloop	xxx							1 sloop taken min			New-York Weekly Journal LIV p3				
E 135	135		Hos 3	28 September 1734	28 September 1734		"Sp surprise Fleet, after which they engage"	xxx	3 PA / Priv 120 men 2 PA 2 Sloops	Capt. Dursey RI					"1 taken, then liberated / 1 prev taken, then liberated / 1 Flat prey taken, then liberated"			New-York Weekly Journal LXVIII p4				
E 136	136		Hos 3	1 October 1734	30 October 1734	Miskito Raids	"Baymen arm Mos allies, after which they raid unknown number of Sp or Ma towns or hamlets in Peten or Sp Hon"	xxx		Mos allies			xxx Ma Sp prisoners taken			xxx towns or hamlets sacked			"MEXICO,1083,L.54 ff 493v—496r"	Barke 2012 p125 n431		
E 137	137		Hos 3	1 November 1734	30 November 1734		Sp or buccaneers or privateers surprise unknown fly boat	xxx							1 lg loaded fly boat burnt				xxx			
E 138	138		Hos 3	1 October 1735	30 October 1735		Sp surprise Fleet	xxx	2 PA	Col. Cranston RI					4 taken / 3 then liberated			New-York Weekly Journal CXI p3				
E 139	139		Hos 3	1 March 1736	30 March 1736		xxx	xxx				1 pilot beheaded 8 killed 	all crew imprisoned		1 sm sloop of Jam taken			"London Evening Post 1338 p2
Boston Evening-Post 81 p2"			"Newport, Rhode Island. Feb. 21. ... A Sloop was seized there said to be taken from the English by the Spaniards some Time since in the Bay of Honduras, putting into Charstown (for Necessaries) and the Men all confined. /BEP 81

They write from Honduras, by the Way of Rhode Island, that a small Sloop belonging to Jamaica had lately taken on that Coast a Spanish Sloop, after having kill'd eight Spaniards in the Engagement; that the rest of the Crew were made Prisoners, one of whom proving a remarkable Man, and had been nine Years a Pilot amongst them, they immediately took his Head from his Shoulders, and sent it as a Present to Jamaica. The same Letters add, that Capt. Woodberry, who was lately taken by the Spaniards, having been with them some Time, rose upon them and kill'd several and made his Escape. His Vessel during his Confinement was cast away. /LEP 1338"	
E 140	140		Hos 3	19 January 1737	19 January 1737		xxx	Old					6 Eng 3 Neg imprisoned		15 Craft + sev Flats + sev sm Craft				"MEXICO,3099 exp 3 ff 40r—65r — a 19 sep 1737"	Barke 2016 p56—7 n190		
E 141	141		Hos 3	26 April 1737	26 April 1737		Sp surprise Fleet	xxx	[possibly] Gov. Don Manuel Salcedo						"taken a sloop or two [min] = 6 or 7 smaller vessels taken / 1 sloop deserted in fight, taken"	burnt abundance of wood landed at cayes		"New-York Weekly Journal 203 p3
New-York Weekly Journal 205 p2"				
E 142	142		Ill 1	1 June 1737	30 December 1737		Outbreak of unknown cause or nature spreads among Baymen and Fleet	"St. George’s, Old"				"abundance of Baymen have died, as well as those of Fleet"						New-York Weekly Journal 203 p3			Upper End assumed = end of wet season	
E 143	143		Hos 3	18 January 1738	18 January 1738		Sp or buccaneers or privateers surprise Fleet or unknown sloop	xxx	2 or 3 PA	Capt. Watlins					1 sloop taken / then released			Boston News-Letter 1774 p2				
E 144	144	O		3 February 1738	3 February 1738	Torrington Manumission	"First manumission on record, aboard Ship Torrington"	Old											MSR 3 Feb 1737	Burdon I p69		
E 145	145		Hos 3	1 April 1738	30 April 1738		Sp or buccaneers or privateers surprise Fleet or unknown sloop	xxx	3 lg PA	1 Sloop								Daily Gazetteer 922 p1				
E 146	146		Hos 3	1 July 1738	30 July 1738		"Sp surprise Fleet, after which they engage"	bw New and Old		Capt. Ed. Buckley Boston			25 imprisoned / later liberated		"all flats, 2 sloops loading a ship taken / later liberated"			Daily Gazetteer 1030 p1				
E 147	147		Hos 3	12 August 1738	12 August 1738		"Sp surprise ship John and Jane, after which they engage"	xxx	Sloop 18 men	Capt. Stephen Bastwick etc.		3 killed [source?]	Reeves and two of his Neg imprisoned		"2 sloops, 2 craft w 26 wood [ea or together?] taken"			Boston News-Letter 1769 p2				
E 148	148		Hos 3	1 February 1739	2 March 1739		Sp or buccaneers or privateers surprise Fleet or craft under Capt. Gwynn	xxx		Capt. Gwynn Boston					1 vessel taken			New-York Weekly Journal 279 p3				
E 149	149		Hos 3	1 March 1739	30 March 1739		"Sp or buccaneers or privateers surprise Fleet, after which they engage"	Turneffe		Capt. Collis RI etc.		"Captain Collis, 2 mates killed"	companies of 2 sloops carried away / captain used in barbarous manner		"1 vessel, 2 sloop taken [min]"			"Boston News-Letter 1834 p2
General Evening Post 906 p2"				
E 150	150	Dup ?	Hos 3	1 March 1739	1 March 1739		Sp surprise Fleet	Turneffe		Capt. Collis		"Captain Collis, 2 mates killed"	companies of 2 sloops carried away / captain used in barbarous manner		"1 vessel, 2 sloop taken [min]"			Virginia Gazette 151 p2				
E 151	151		Hos 3	1 April 1739	30 April 1739		Sp or buccaneers or privateers surprise craft under Capt. Anderson	xxx	Sloop 10 guns	Capt. Mark Anderson								Universal Spectator and Weekly Journal 559 p3				
E 152	152		Hos 3	1 May 1739	30 May 1739		Sp surprise Fleet	xxx	2 MW 1 Half-Galley						5 vessels taken			General Evening Post 906 p2				
E 153	153		Hos 3	1 September 1739	30 September 1739		Sp or buccaneers or privateers surprise Fleet	xxx		Mr. White etc.			1 owner Mr. White and 2 Captains used barbarously [so taken?]		3 vessels taken			General Evening Post 961 p2				
E 154	154		Hos 3	1 October 1739	30 October 1739		Sp or buccaneers or privateers surprise Fleet or craft under Capts. Pustle and Gowan	xxx	2 Priv / Vessel 20 men	Capt. Pustle Capt. Gowan								General Evening Post 968 p2				
E 155	155		Hos 3	1 October 1739	28 February 1740		"Capt. Holiday, of Jamaica, under commission, cruises Settlement agaisnt Sp"	xxx		Capt. Holiday Jamaica 1 Sloop 75 men	Capt. Woodbury Boston							General Evening Post 1042 p2				
E 156	156		Hos 3	22 March 1740	24 March 1740	Destruction of Fort San Lorenzo	"Royal Navy, possibly with Baymen and Shoremen, destroy Sp fort"	Chagres R	Juan Carlos Guitiérrez Cevallos 30 infantry	Gov. of Mosquito Shore Hudson ? / Adm. Edward Vernon								New-York Weekly Journal 446 p1			"Extract of a Letter from Jamaica, dated March 4th. YESTERDAY Capt. John Thomas arrived here from the Musqueto Shore who brings the following News; That Governour Hudson with 400 of Black White and Yellows, in thirty Pettiaugers, were bound up to the River Chagre, there to meet the Admiral, or he Fleet he shall send down to them; and from thence they are going over to Panama. He likewise brings the News That Capt. William Lee, Commander of the Snow Burnator with 16 Guns, is on the Shore, and hath sent down to the Bay of Honduras for as many Men as they can assist them with; and Capt. Stupert in a Billander with Twenty Guns & Forty Men is going down with him to the River of Dulce, where the is two annual Ship, that have been trading for a long Time : We believe they will take them, and they'll make fine Prizes. /NYWJ 46"	
E 157	157		Hos 3	1 April 1740	30 April 1740		"Sp surprise ship John and Jane, after which they engage"	xxx	2 Craft	Capt. Vincent Boston & Capt. Thatcher / sm Sloop of Baymen					2 sloops taken / later liberated			London and Country Journal [1739 Tuesday Edition] 76 p3				
E 158	158		Hos 3	1 July 1740	30 August 1740		Sp surprise Fleet	xxx							1 vessel taken = Mary under Capt. Flowers			New-England Weekly Journal 703 p1				
E 159	159		Hos 3	24 August 1740	24 August 1740	Mos Sack Shasoon (near Bacalar)	Mos allies raid Sp town “Shasoon” near Bacalar	Bacalar		100 Mos								Boston News-Letter 1906 p2			"“100 Musketoe-Men went to take a pretty rich Town call'd Shasoon, near the Town of Bateloe” /BNL 1906"	
E 161	161	O		1 January 1741	31 December 1741	Pitt & Hodgson Commission	Home Government appoints William Pit and Robert Hodgson commissioners to report on condition of Bay Settlements (inc. our Settlement)	"Old, Roatan, Bonacca"		William Pitt / Robert Hodgson									CO 123/9	Burdon I p69		
E 160	160		xxx	1 January 1741	31 December 1741	Sp Asylum	"Yucatan offers Neg slaves asylum on conversion to Catholicism, after which unknown number of slaves flee to Yucatan"	Hondo						xxx Neg slaves flee to Sp					"MEXICO,892 exp 5 — Yucatán a 26 sep 1741"	Barke 2012 p125—6 n432		
E 162	162		Hos 3	1 February 1741	28 February 1741		Sp surprise Fleet	xxx	2 PA 110 men	Capt. Burchell								Boston News-Letter 1930 p1				
E 163	163		Hos 3	1 June 1741	30 June 1741		Sp surprise Fleet	xxx		Capt. Wise		2 Sp killed [mistakenly or not in defence]			1 vessel taken / later liberated			Daily Gazetteer 1975 p3	Jameson doc no 145 [Thursday 25th.] 			
E 164	164	O		10 November 1743	10 November 1743	Hon Defence Memorial to Privy Council	Settlement prays for appointment of Governor and force for protection of person and trade.	"Old, London"		John Gerald [Bayman?]									APC Col 10 Nov 1743 [= vol 3 p768]	Burdon I p70	"On 10 Nov 1744 recommended in affirmative to King in Council, but no action taken /via Burdon 1 p71 /APC Col"	
E 165	165		Hos 4	1 March 1744	30 March 1744		Sp surprise Fleet	xxx	Priv	Capt. Fiske		"1 captain killed, 1 pass dangerously wounded"	some of Captain Fiske co.		Fiske’s craft taken			London Evening Post 2598 p7				
E 166	166	O		14 June 1744	14 June 1744	Order in Council for protection of Hon	"Order in Council [of Jam? Eng?] issued for settling of Hon, and assistance for this [by Jam likely]"	Old		Commander in Chief of Rattan Major Caulfield / 1 Sloop									"CO 137/48 [8 Jun, 2 Aug, 24 Nov 1745]"	Burdon 1 p72–4	"1745, August 2nd. Major Caulfield, Ratan, to Mr. Trelawny. The Engineer [of Ratan] was too busy to be sent in Garrisons sloop when the Troops and Seamen were sent to the Bay. ... I sent the Bay People 30 good Arms which belonged to the Artillery Stores /Burdon 1 p73 /CO 137/48 [Mjr. Caulfield to Mr. Trelawny, Ratan]"	
E 167	167		Hos 4	29 May 1745	29 May 1745		One Sp campaign against Settlement	New	6 Craft 60 men				took sev Neg	evac all except “a Point of land” c ? m		burned and destroyed all before them / took much Prov			"CO 137/48 [8 Jun, 2 Aug, 24 Nov 1745]"	Burdon I p72	"1745, June 8th. Letter from the Inhabitants of the Bay of Hon to Major Caulfield. ... We now expect every day Nine [Sp] Crafts up this [Old] River, as Wm. Serjent has sent us word. We are not able to fir out to meet them /via Burdon 1 p73 /CO 137/48"	
E 168	168		Hos 4	1 January 1746	30 January 1746		Sp surprise Fleet	Turneffe				"captain, owners of sloop killed"			1 sloop Kouli Can taken			St. James’s Evening Post 5639 p3	"Bib Real, Mis Ayala, T. II, 2817, 279 (II), fol 196 -- a 19 enero 1746"	Calderon 158 no 2		
E 169	169		Hos 4	1 February 1746	30 March 1746		Sp surprise Fleet	xxx				"1 vessel crew drowned [accidental, on being taken by Sp]"			4 vessels taken			General London Evening Mercury 482 p3				
E 170	170		Hos 4	1 May 1747	30 June 1747		Sp surprise Fleet	Old	2 Craft						taken sev ships / taken sev sm trading vessels [Flats?]			General Evening Post 2159 p2				
E 171	171		Hos 4	3 June 1747	9 August 1747		One Sp campaign against Settlement	Old						evac on Jun—Aug 47 for c ? m					CO 137/48 [9 Aug 1747]	Burdon I p74	"1747, August 9th. Gov Trelawny to Duke of Newcastle. Reports news that a large Spanish Fleet was being built on the River St. Juan, ... That, in the meantime, the Spaniards putting into execution their threat made at the time [1745 attack likely] of the attack on New River, had swept down upon Belize and compelled the whole of the settlers to flee to Rattan ""from whence they dare venture only at certain times to cut a little wood."" /via Burdon 1 p74 /CO 137/48"	
E 172	172		Hos 4	1 January 1748	30 January 1748	Complete Routing	xxx	Old	"Don Alonso Fernández de Heredia [Gov. Sp Honduras], Capt. Don Felipe López de la Flor"				prisoners taken / punishments were very severe						"MEXICO,3099 -- a 10 mar, 30 jul 1748"	Calderon 158 no 3	"ALONSO FERNANDEZ DE HEREDIA, GOBERNADOR DE HONDURAS, AL MARQUES DE LA ENSENADA, MINISTRO DE INDIAS, EN GRANADA A 10-3-748. ""Tengo dado cuenta a V. E. que luego que tomé posesión del Gobierno de Honduras por muerte del Coronel Don Juan de Vera, se consiguió echar a los enemigos de Waliz, en donde había tiempo se hallaban establecidos, cuya operación y la de haberles privado de carnes frescas en Roatán, los tiene sumamente inquietos y rabiosos, juntamente con hallerse enteramente cortado el comercio ilícito que por aquella Provincia había, que lo han manifestado con repetidos ataques, que por todas las tres de mi mando han intendado. /via Calderon 158 no 3 /MEXICO,3099 -- a 10 mar 1748 

DECLARACION HECHA POR EL TENIENTE INGLES TOMAS TIMOTEO PENDET, EN BACALAR AÑO 1748. ""... que habiéndoles privado las carnes frescas que en años anteriores les suministraban de la costa de la provincia de Honduras, padecían grande mortandad, y que los que escapaban quedaban llenos de llagas y lazarinos, por las saladas con que se veían obligados a mantenerse, y que aunque los ingleses establecidos en Río Tinto y Aguan les sucorrían con alguna vaca, que eran tan pocas que no bastaban, ni aun para los oficiales, y que el inglés llamado Guillermo Pitt, se hallaba con toda la ropa que dos años hace le habían traído de Jamaica, y que la mayor parte de dicha ropa estaba podrida, por no haber podido introducir ninguna de ella en Honduras, y que los habitantes de la dicha provincia de miedo del castigo que se les había impuesto, y de la vigilancia con que se guardan los caminos, no bajaban al trato"" /via Calderon 158 no 3 /MEXICO,3099

ALONSO FERNANDEZ DE HEREDIA AL MARQUES DE LA ENSENADA, EN GRANADA A 30-7-748. ""...me noticiaron haberse vuelto a poblar dicha nación sobre aquellos ríos en el corte, y trato del palo del Brasil, con número de negros y armamentos a su resguardo; no obstante que en mi anterior campaña, que hice también en cuenta de S. M. los había desalojado, quemándoles las habitaciones, plantajes, sementeras, embarcaciones de su manejo, y las porciones del palo del Brasil que tenían cortados, ...y con noticias que tuvieron dichos ingleses unidos de la comprensión de las dos poblaciones pasaron inmediatamente con sus negros armados, y le formaron a los nuestros una emboscada sobre un estero por donde pasaban, que encubiertos desde el monte les hicieron tal fuego, que no pudieron resistirlo, sino sólo con la primero descarga, porque no les dieron lugar a más que a botarse al agua para zafar como lo ejecutaron con pérdida de las armas, 3 hombres que murieron en la función, 11 heridos y uno perdido, …"" /via Calderon 158 no 3 /MEXICO,3099"	
E 173	173		Hos 4	1 July 1748	30 July 1748		xxx	Old	Capt. Don Felipe López de la Flor	Baymen					"some craft taken, some destroyed"				xxx			
E 174	174		Hos 4	1 August 1748	30 September 1748		Sp surprise Fleet	xxx							1 brig taken			General Advertiser (1744) 4378 p1				
E 175	175		Hos 4	1 August 1748	30 September 1748		Sp surprise Fleet	xxx							"1 brig fm Boston taken, Dupree master"			General Advertiser (1744) 4378 p1				
E 176	176		Ill 2	7 March 1750	30 September 1750		Outbreak of unknown cause or nature spreads among Baymen	xxx									makes it impossible to cut Logwood / 30 to 40 vessels waiting	New-York Evening Post 261 p2				
E 177	177		Hos 4	6 May 1750			"Sp surprise Fleet, after which they engage"	New	Galley 123 men Havannah	Capt. Heysham / Capt. Kattur / Priv of Baymen		1 killed	"1 captain, 8 men, 3 women passenger / lib later"		"1 tender taken / 1 ship taken later, then lib"			"Boston Evening-Post 780 p1
Whitehall Evening Post (1770) 720 p1"				
E 178	178		Hos 4	17 September 1750			"Sp surprise Fleet, after which they engage"	xxx	2 Half Gallies	Capt. Riven								Boston Evening-Post 793 p4				
E 179	179		Hos 4	21 January 1751	9 November 1751	Palma Expedition	One Yucatan military campaign against Settlement	"Hondo, New, Old"	Don José Antonio de Palma / Capt. Alberto José Rendón / 5 PA / 100 men				"numerous Eng men seized, inc. Comandante de Valis [Chief Magistrate?] / later liberated"		43 Craft seized / 57 vessels [not Bay Flats] seized [possibly ?]				"MEXICO,3017 — a 2 jun 1751
MEXICO,3019 — 24 Apr 1750"	Calderon 161 no 15	"Baymen reach Chunhuhub [for logging?] in 1750 /via Gerhard 71 /MEXICO,3019 — 24 Apr 1750

Dates /via Calderon 161 no 16 /MEXICO,3017 — Expediente instruido del viaje que por encargo del Gobernador de Yucatan, Marques de Iscar, realizo el Capitan Alberto Jose Rendon … 

MARQUES DE ISCAR AL MARQUES DE ENSENADA, EN MERIDA 2-6-751 ""...Por él entenderá V. E. le libertad con que los ingleses permanecen en los Ríos de Valiz al corte de palo de tinta que producen en sus riberas, llegando a tal extremo su expotiquez que han puesto una batería en la boca del río Nuebo. Y en atención a que las subsistencias de dichos ingleses en aquellos ríos es en contravención de lo estipulado en los capítulos que contiene el Tratado Definitivo de Paz; he dispuesto se continúe el corso en los mencionados ríos, para perseguir y hostilizar a los ingleses como usurpadores de los frutos que producen los dominios del Rey, a cuyo fin se destinan los capitanes de corso Don José Antonio de Palma, y Don Alberto José Rendón con 6 piraguas y 100 hombres de tripulación, precediendo a su salida las fianzas y seguridades convenientes para que no se extiendan sus facultades a otra cosa que a ejecutar el corso contra dichos ingleses; siendo el principal encargo que les he hecho el de quitar la Artillería que tienen los ingleses en la boca del río Nuevo..."" /via Calderon 161 no 15 /MEXICO,3017 -- a 2 jun 1751

Declaración del Teniente Pedro Francisco de la Puente y Basori ante el Marqués de Iscar en Mérida a 3-11-751. ""...que en la boca del río Nuevo [los ingleses] tienen 8 cañones y en el río Viejo en un paraje que llaman el Embarcadero tienen también artillería, pero que no sabe su número."" /via Calderon 161 no 16 /MEXICO,3017

Declaración del Teniente Pedro Francisco de la Puente y Basori ante el Marqués de Iscar en Mérida a 1-7-751. ""... que la expresada noticia la tiene con certidumbre por un negro de razón huido ha pocos días del expresado río Nuevo al Fuerte de Bacalar; que en la boca de del tal río tienen formadas unas explanadas, y en ellas los tales 8 cañones, y en situación que puedan embarazar la entrada a barcos españoles; que oyó decir iban a levantar paredes y construir un castillo, que antes de suceder esto respecto a no haber más que 6 u 8 hombres de guarnición en la tal explanada, que pueden ser cogidos con la providencia de habilitar en el mismo Fuerte de Bacalar 3 o 4 piraguas con la gente competente, y ocultándose de día en un estero, caer a media noche sobre ellos, que para cuando puedan darles providencias de socorro, estarán ya los de la guarnición aprisionados y los cañones clavados o en las piraguas..."" /Calderon 162 no 17 /MEXICO,3017"	
E 180	180	O		20 May 1751	20 May 1751	Contratación Conference	Members of Universidad de Cargadores de Indias meet at Casa de Contratación to recommend best way to rout Eng from Yuc to Sp Crown	Cadiz	Mathias Landaburu / Nicolás Mace / Pedro Manuel Álvarez / Jacinto Palomo / Francisco Fanales / Juan Joseph Redonda / Francisco de la Guardia / Juan de Goyeneche / Pablo de Wint y Joseph										"MEXICO,3099 ff 184-192
Bib N Esp MSS/1962"	Contreras 58		
E 181	181	Dup ?	Hos 4	30 June 1751		Palma Expedition [?]	xxx	New	15 Craft 180 to 200 men Campeachy Guatemala				129 Eng [Bay inc?] imprisoned / min 19 released later / release or ransom of all previously agreed to		7 sloops taken / 18 to near 30 flats taken			"Boston Gazette 1643 p2
General Evening Post 2802 p1"				
E 182	182	Dup ?	Hos 4	1 November 1751		Raid of Bacalar	Baymen raid Bacalar	Bacalar	[possibly] Capt. Antonio de Castañeda	Baymen Mos Shoremen?									"BL, Add MS 17569 ff 6-6v
MEXICO,3099 — a 12 dic, 28 dic 1751"	"Antochiw 14
Gerhard 73
Calderon 163"	"ALEXANDRE BELISCHES AL MARQUES DE ISCAR EN LA BOCA DEL RIO VALIZ A 12-12-751. ""...Pondré todo mi cognato y cuidado a contener los residentes en estos ríos en los límites de hostilidades. Por lo que toca a los zamos e indios mosquitos que V. E. menciona, no han tenid acá abrigo alguno, ni asistencia acá, sin embargo que varias veces nos han ofrecido su asistencia; ..."" /via Calderon 163 no 21 /MEXICO,3099 -- a 12 dic 1751"	
E 183	183		Ill 3	1 November 1751	30 May 1752		Outbreak of unknown cause or nature spreads among Baymen and Fleet	xxx				left sev Vessels without Hands … two [women] left in the whole Bay						"Boston Gazette 1659 p2
Covent-Garden Journal 31 p4"			"“NEW-YORK, Dec. 16. ... By Vessels from the Bay of Honduras, we have repeated Accounts, of a great Sickness and Mortaity among the People there; which has left some Vessels without Hands enough to bring them off. --And in particular, it has been so great among the Women on Shore, that 'tis said there are but two left in all the Bay.” /BG 1659"	
E 184	184		Hos 4	25 December 1751	27 December 1751	Christmas Routing	"Sp surprise Fleet, after which they engage"	Old / Water Caye	2 Gallies 1 Brig	Henry Stevenson / Capt. Troup etc.			1 brig co imprisoned / later released	evac on 9 Jan 52	1 brig taken			"New-York Gazette or Weekly Post-Boy 477 p2
Boston Evening-Post 886 p1"	CO 137/48 [22 Feb 1752]	Burdon 1 p78	"Robert Hodgson, Jamaica, to the Earl of Halifax. ... an Express is just arriv'd from [Hon] with News that I have long expected, of it's [Hon] being taken at last, with the Baymen's effects, among which it is presumed are their Periagua's and Flatts /via Burdon 1 /CO 137/48"	
E 185	185		Hos 4	1 May 1752			xxx						19 Neg carried off						xxx			
E 186	186		Hos 4	1 June 1752			"Sp establish town very near Settlement, and thereafter assault it"	xxx	10 Craft				carried off all Neg					Boston Evening-Post 886 p1	CO 137/48 [22 Feb 1752]	Burdon 1 p78	"Town est. possibly Port Mahoo, “Spaniards were very assiduous in erecting Fortifications at Port Mahoo, being about 30 Leagues distance frmo the Old River's Mouth :  That there was at Port Mahoo two Ships with Stores, which brought there two Hundred and fifty Soldiers :  That at that Port, there was also two armed Brigs, two Galleys and several Sloops and Xebecks :  The Crews of all which Vessels serve alternately to work at the Fortifications, and cruize in Search of all Vessels bound to the Bay of Honduras, &c.” /Boston Post-Boy 926 p2

Robert Hodgson, Jamaica, to the Earl of Halifax. ... the Spaniards are now settling and fortifying [Rattan] and from [there] their Cruisers not only command and muzzle our Coast [Hon], but likewise intercept all vessels bound to the Bay /via Burdon 1 p78 /CO 137/48"	
E 187	187		Hos 4	1 June 1752			Sp surprise Fleet	xxx	1 MW 1 Chebeque 1 Sloop 2 PA	Capt. Mosely Capt. Rand					6 or 7 vessels taken [previously]			London Evening Post 3878 p1				
E 188	188		Hos 4	1 June 1752			"Sp surprise Fleet, after which they engage"	Rat / Bay	Galley or 2 GC	Capt. McNamara 50 Baymen 70 Shoremen / Capt. Mosely Gov. Pitt					2 craft taken w sum 230 t wood taken	forced to have boat manned and continually under arms = great expense		"London Daily Advertiser 483 p2
New-York Mercury 16 p2"				
E 189	189		Hos 4	1 August 1752			"Sp surprise Capt. Man, after which they engage"	xxx	sev Craft	Capt. Man			1 vessel co imprisoned / later escaped except McDonald		1 vessel taken			Boston Post-Boy 925 p1				
E 190	190		Hos 4	1 August 1752			"Sp surprise Fleet, after which they engage"	Haulover / New	5 sm Barks 70 men / 10 PA 170 men	"John Lance, Master of snow Jacob"					"1 snow w Prov taken / 1 vessel taken, then lib"			Boston Post-Boy 926 p2				
E 191	191		Hos 4	2 August 1752	28 September 1752		"Sp surprise Fleet, after which they engage"	xxx	6 PA 1 Flat of 14 swivel guns / later 1 Dorey 2 PA Don Palmo 76 Sp men	Capt. Crowel NY Capt. Hall Connecticut / later Capt. Arnold Capt. Hill [NY?]		1 mate killed	"2 captains, 1 mate imprisoned/ later min 1 impressed for 6 months"		"1 sloop plundered / 5 craft w wood taken / later 3 vessels taken, then liberated"			"Boston Post-Boy 934 p2
Read’s Weekly Journal or British Gazetteer 1478 p1"	"MEXICO,1017 -- a 26 enero 1753 [Capt. Crowell = Tomás Croel]"		"[U]na declaración de un prisionero inglés llamado Tomás Croel que dice así: ""...Preguntado a qué fué a Valis y con qué licencia, y de qué puerto salió, y para qué tiempo; dijo que su viaje a Valis fué a cargar palo de tinta con licencia del Gobierno de Novaiorca para el Golfo de Hondura (como todos los que vienen a Valix sacan licencia para dicho Golfo)... Preguntado si no sabe que los parajes de Balix son dominios del Rey de España, dijo que oyó decir que era paraje el de Balis peligroso de que le cogieran los españoles,..."" /via Calderon 164 no 27 /MEXICO,1017"	
E 192	192		Hos 4	1 October 1752			"Sp surprise Fleet, after which they engage"	xxx	GC						5 ships / sev sloops with Log taken			Read’s Weekly Journal or British Gazetteer 1480 p4				
E 194	194	O		6 November 1752	6 November 1752	Sp Amnesty for slaves	Spanish King orders Governors grant freedom to slaves from English colonies on their converting to Catholicism	Madrid	Sp King Ferdinand VI of Spain										CO 137/59	Burdon I p79		
E 193	193		xxx	6 November 1752	6 November 1752		Sp King orders Sp Gov's to grant freedom to Neg of Eng and Du colonies who flee to Sp colonies and embrace Catholic religion	xxx	Sp King										"CO 137/59 [6 Nov, 18 Nov 1752]"	Burdon 1 p79		
E 195	195		Hos 4	4 December 1752			"Sp surprise Fleet, after which they engage"	xxx							2 craft taken / 1 plundered of Prov			Boston Gazette 10 p2				
E 196	196		Hos 4	24 February 1753			"Sp surprise Fleet, after which they engage"	xxx	GC	Capt. Clark								London Evening Post 3978 p4				
E 197	197		Hos 4	28 February 1753			"Sp surprise Fleet, after which they engage"	Caye Bokell	Brig of 30 swivel guns	Capt. Ed. Menzies			many Eng imprisoned for 6 months at Mahoo [previously taken] / Capt. imprisoned for 		1 brig taken			New-York Mercury 82 p3				
E 198	198		Hos 4	1 May 1753			"Sp surprise Fleet, after which they engage"	New						evac on 9 Jun 53 fm New	not one craft [flat] escaped destruction in New	entirely routed fm New [so houses burnt?]		New-York Mercury 44 p3				
E 199	199		Hos 4	24 May 1753		Capture of Sp Brig	Baymen and Capt. Sergeant of Rhode Island capture and burn a Sp brigantine	"Old, Water Caye"		Capt. Sergeant RI / Baymen								"Boston Post-Boy 970 p1
Public Advertiser 5869 p1
Read’s Weekly Journal or British Gazetteer 1485 p2
London Evening Post 4030 p5"				
E 200	200		Hos 4	12 April 1754		Sp Expedition to Bay	xxx	Key Mager	"Don Juan Nanos w 24 gun Ship 1 lg Xebek Gov. of Campeche Don Noverette w 20 Sail = sum 2,000 men"					some Neg evac or sent to Mos				"New-York Mercury 104 p3
Boston Gazette 87 p3"				
E 201	201		Hos 4	24 May 1754		May Battle	One Sp infantry or cavalry campaign against Settlement	Labouring Creek	[possibly] José Vásquez de Prego [Pres Guat] w near 300 men	100 Baymen						sacked Wells house to considerable value		"Boston News-Letter 2662 p1
Boston Post-Boy 1008 p1
[Hon Almanack 1826]"				
