C1—30 / Online collections of archival material.
ID	TYPE	YR	ALT ID	AUTHORS	PUBLICATION	P	TITLE	DESC	DESC	DESC	DESC	DESC	LINK				
I145	STATE	1800	CO 5/37 II				"Correspondence of Office of Committee od Privy Council for Trade February, 1800 concerning trade at the Bay of Honduras"	Acts of Nav extended to Hon	Am embargo				"Correspondence of Office of Committee od Privy Council for Trade February, 1800 concerning trade at the Bay of Honduras. 1800/02/17. Order; Correspondence. The National Archives, Kew, CO 5/37, Part II. Colonial America. Web. February 15, 2021. <http://www.colonialamerica.amdigital.co.uk.ezp-prod1.hul.harvard.edu/Documents/Details/CO_5_37_Part_3_004>."				
I146	STATE	1823	HCP 457				"Correspondence relative to Condition and Treatment of Slaves at Honduras, 1820-23 "	Af Slavery					https://parlipapers-proquest-com.ezp-prod1.hul.harvard.edu/parlipapers/docview/t70.d75.1823-008705/usgLogRstClick!!?accountid=11311				
I147	STATE	1823	CP 457				"Correspondence relative to Condition and Treatment of Slaves at Honduras, 1820-23"	1820 Revolt					https://parlipapers-proquest-com.ezp-prod1.hul.harvard.edu/parlipapers/docview/t70.d75.1823-008705?accountid=11311				
I148	STATE	1828	HCP 522				Report of Coms. of Legal Inquiry on Case of Indians at Honduras 	Mos Slavery					https://parlipapers-proquest-com.ezp-prod1.hul.harvard.edu/parlipapers/docview/t70.d75.1828-011315/usgLogRstClick!!?accountid=11311				
I149	STATE	1830	HCP 583				Returns relating to Claims to Freedom by Descendants of Native Indians at Honduras	Mos Slavery					https://parlipapers-proquest-com.ezp-prod1.hul.harvard.edu/parlipapers/docview/t70.d75.1830-012069/usgLogRstClick!!?accountid=11311				
I150	STATE	1917	US 710.11				710.11. 15 Jan. 1917	 					"710.11. 15 Jan. 1917. World Scholar: Latin America & the Caribbean, tinyurl.gale.com/tinyurl/DPB2t7. Accessed 17 Feb. 2021."				
I151	STATE	1931	US 710.11				710.11. 18 Dec. 1931	 					"710.11. 18 Dec. 1931. World Scholar: Latin America & the Caribbean, tinyurl.gale.com/tinyurl/DPB2y3. Accessed 17 Feb. 2021."				
I152	STATE	1932	US 710.11				710.11. 18 Mar. 1932	 					"710.11. 18 Mar. 1932. World Scholar: Latin America & the Caribbean, tinyurl.gale.com/tinyurl/DPB362. Accessed 17 Feb. 2021."				
I153	STATE	1932	US 812.111				"812.111. N.p., 26 Apr. 1932"	 					"812.111. N.p., 26 Apr. 1932. World Scholar: Latin America & the Caribbean, tinyurl.gale.com/tinyurl/DPB3C7. Accessed 17 Feb. 2021."				
I154	STATE	1934	US 812.79644A				812.79644A. 11 Aug. 1934	 					"812.79644A. 11 Aug. 1934. World Scholar: Latin America & the Caribbean, tinyurl.gale.com/tinyurl/DPB3J6. Accessed 17 Feb. 2021."				
I155																	
I156																	
I157																	
I158																	
I159																	
I160																	
I161																	
I162																	
I163																	
I164																	
I165																	
I166																	
I167																	
I168																	
I169																	
I170																	
I171																	
I172																	
I173																	
I174																	
I175																	
I176																	
I177																	
I178																	
I179																	
I180																	
I181																	
I182																	
I183																	
I184																	
I185																	
I186																	
I187																	
I188																	
I189																	
I190																	
I191																	
I192																	
I193																	
I194																	
I195																	
I196																	
I197																	
I198																	
I199																	
I200																	
